timestamp,SPY,AGG,EFA,EEM
2003-09-26,99.95,102.45,117.0,135.4
2003-10-01,102.08,102.65,120.84,139.5
2003-11-03,105.99,101.2,125.23,151.95
2003-12-01,107.6,101.17,130.28,155.53
2004-01-02,111.23,101.57,137.15,167.58
2004-02-02,113.97,102.35,138.0,167.94
2004-03-01,116.16,103.29,143.4,178.52
2004-04-01,113.78,103.74,143.48,176.93
2004-05-03,112.15,100.36,138.2,159.89
2004-06-01,112.71,99.7,138.69,159.04
2004-07-01,112.94,100.35,141.2,159.61
2004-08-02,111.07,100.8,137.55,154.97
2004-09-01,111.32,102.51,138.65,162.58
2004-10-01,113.65,102.17,143.6,175.8
2004-11-01,113.51,102.74,146.6,178.73
2004-12-01,119.23,101.51,157.95,196.55
2005-01-03,120.3,102.4,159.1,199.75
2005-02-01,118.91,102.7,158.18,202.5
2005-03-01,121.23,101.85,164.05,220.84
2005-04-01,117.43,101.18,158.5,204.0
2005-05-02,116.4,101.99,156.25,201.6
2005-06-01,120.49,103.24,155.89,209.04
2005-07-01,119.53,102.68,52.32,71.86
2005-08-01,123.65,101.59,54.49,78.36
2005-09-01,122.49,102.65,56.7,79.2
2005-10-03,122.6,100.87,57.9,85.42
2005-11-01,120.49,99.88,56.73,80.9
2005-12-01,126.69,99.7,58.63,86.3
2006-01-03,126.7,100.64,61.42,91.55
2006-02-01,128.39,99.88,63.05,100.73
2006-03-01,129.37,99.95,63.06,99.58
2006-04-03,129.73,98.6,65.63,101.8
2006-05-01,130.4,97.79,68.0,105.42
2006-06-01,128.73,97.52,65.85,95.62
2006-07-03,127.8,97.2,65.73,95.98
2006-08-01,127.22,98.23,65.46,94.55
2006-09-01,131.42,99.17,68.1,98.71
2006-10-02,133.08,99.84,67.94,96.61
2006-11-01,136.86,100.18,70.2,102.56
2006-12-01,140.22,100.86,72.36,109.35
2007-01-03,141.37,99.91,73.51,115.14
2007-02-01,144.61,99.29,74.86,115.7
2007-03-01,140.51,100.44,73.39,109.01
2007-04-02,142.16,100.0,76.5,117.45
2007-05-01,148.67,100.02,79.08,121.32
2007-06-01,154.08,98.63,81.56,130.13
2007-07-02,151.79,98.2,81.94,134.3
2007-08-01,146.43,98.33,79.05,132.05
2007-09-04,149.08,99.28,79.14,136.21
2007-10-01,154.3,99.27,83.65,154.15
2007-11-01,151.03,100.44,84.29,160.44
2007-12-03,147.68,102.13,82.67,153.06
2008-01-02,144.93,101.6499,78.22,147.82
2008-02-01,139.58,102.99,73.55,139.62
2008-03-03,133.5,102.53,71.81,140.38
2008-04-01,136.61,101.57,74.1701,139.5399
2008-05-01,141.12,102.1,76.27,148.22
2008-06-02,138.9,100.96,75.91,149.5
2008-07-01,128.38,99.67,67.93,133.3
2008-08-01,126.16,99.89,65.4,42.46
2008-09-02,128.02,100.69,62.59,38.84
2008-10-01,116.17,97.5,55.88,34.58
2008-11-03,97.16,94.04,44.75,25.2
2008-12-01,82.11,99.43,38.32,20.74
2009-01-02,92.96,103.55,45.44,26.16
2009-02-02,82.58,101.59,38.32,22.42
2009-03-02,70.6,100.7,32.69,19.94
2009-04-01,81.06,101.073,38.57,25.63
2009-05-01,87.89,100.92,42.41,29.09
2009-06-01,94.77,100.46,48.62,34.64
2009-07-01,92.33,101.77,46.57,32.82
2009-08-03,100.44,102.55,51.58,37.12
2009-09-01,100.2,103.51,51.37,34.64
2009-10-01,103.0,104.82,53.25,37.85
2009-11-02,104.32,104.32,53.82,38.13
2009-12-01,111.3,105.22,56.91,41.68
2010-01-04,113.33,103.31,56.73,42.71
2010-02-01,109.06,104.18,53.44,39.31
2010-03-01,111.89,104.36,53.03,39.62
2010-04-01,117.8,103.84,56.97,43.22
2010-05-03,120.35,104.38,54.8,42.28
2010-06-01,107.53,105.56,47.84,37.405
2010-07-01,102.76,106.88,47.19,37.59
2010-08-02,112.76,107.41,53.66,42.475
2010-09-01,108.46,108.41,51.72,41.47
2010-10-01,114.61,108.26,55.468,45.43
2010-11-01,118.53,108.23,56.8,46.63
2010-12-01,121.01,106.26,55.8,46.065
2011-01-03,127.05,105.63,58.7,48.1
2011-02-01,130.74,105.12,60.85,46.92
2011-03-01,130.93,105.28,60.69,45.32
2011-04-01,133.15,104.96,60.65,49.45
2011-05-02,136.22,106.2,63.87,50.01
2011-06-01,131.87,107.61,60.59,47.66
2011-07-01,133.92,106.4,60.8,48.16
2011-08-01,128.78,108.1175,57.97,47.07
2011-09-01,120.94,109.62,52.91,42.52
2011-10-03,109.93,110.34,46.52,34.36
2011-11-01,122.002,110.27,50.74,39.82
2011-12-01,124.97,108.84,50.8,39.8875
2012-01-03,127.495,110.03,50.885,39.1
2012-02-01,132.47,110.58,52.96,43.045
2012-03-01,137.73,110.26,55.28,44.75
2012-04-02,141.84,109.62,55.53,43.545
2012-05-01,140.74,110.33,53.97,42.5
2012-06-01,128.16,111.6,46.55,36.69
2012-07-02,136.51,111.29,50.29,39.125
2012-08-01,137.59,112.24,50.01,39.19
2012-09-04,141.03,112.13,51.34,39.065
2012-10-01,144.345,112.2,53.43,41.74
2012-11-01,142.83,111.8,54.21,41.82
2012-12-03,141.45,111.6,55.14,41.77
2013-01-02,146.06,110.95,57.745,45.225
2013-02-01,151.24,109.94,59.45,44.505
2013-03-01,152.11,110.66,58.1,43.31
2013-04-01,156.05,110.57,58.17,42.31
2013-05-01,158.28,111.39,61.57,42.82
2013-06-03,164.35,108.97,60.3,41.81
2013-07-01,161.36,107.16,57.84,38.62
2013-08-01,170.66,106.49,61.17,39.715
2013-09-03,164.39,105.75,60.31,38.26
2013-10-01,169.34,106.93,64.14,41.57
2013-11-01,176.21,107.45,65.56,42.475
2013-12-02,180.53,106.83,65.75,41.46
2014-01-02,182.92,106.5,65.91,40.19
2014-02-03,174.17,108.23,62.31,37.11
2014-03-03,184.98,108.35,66.08,38.78
2014-04-01,188.25,107.54,67.63,41.49
2014-05-01,188.325,108.55,68.51,41.38
2014-06-02,192.895,109.13,69.55,42.68
2014-07-01,197.03,109.07,68.97,43.64
2014-08-01,192.5,109.14,66.13,44.06
2014-09-02,200.61,109.45,66.84,44.99
2014-10-01,194.35,109.53,63.36,40.71
2014-11-03,201.77,109.68,63.4,41.8
2014-12-01,205.76,110.08,63.93,40.79
2015-01-02,205.43,110.43,60.58,38.77
2015-02-02,201.92,112.2,61.96,39.72
2015-03-02,211.99,110.45,65.2,40.68
2015-04-01,205.7,111.58,64.63,40.63
2015-05-01,210.72,110.34,67.25,43.14
2015-06-01,211.57,109.66,66.46,40.96
2015-07-01,207.5,108.29,63.9,39.59
2015-08-03,209.79,109.4,64.61,36.5
2015-09-01,191.77,109.02,57.96,32.53
2015-10-01,192.13,109.46,57.5,32.96
2015-11-02,210.39,109.02,61.69,35.56
2015-12-01,210.68,108.82,61.29,34.25
2016-01-04,201.0192,107.97,57.82,31.31
2016-02-01,193.65,108.99,55.42,30.28
2016-03-01,198.11,109.54,55.03,31.4
2016-04-01,206.92,110.51,56.55,34.15
2016-05-02,207.97,110.605,58.98,34.295
2016-06-01,210.27,110.42,58.33,33.1
2016-07-01,209.9208,112.65,55.82,34.69
2016-08-01,216.94,112.55,57.66,36.14
2016-09-01,217.39,112.46,58.75,36.81
2016-10-03,215.78,112.09,58.97,37.71
2016-11-01,211.01,111.03,57.57,36.84
2016-12-01,219.57,107.68,56.57,35.08
2017-01-03,225.24,108.17,58.09,35.43
2017-02-01,227.62,107.92,59.87,37.36
2017-03-01,239.78,108.04,60.97,38.58
2017-04-03,235.33,108.67,62.2,39.61
2017-05-01,238.68,108.73,64.06,40.29
2017-06-01,243.36,109.48,66.49,41.55
2017-07-03,242.21,109.09,65.12,41.63
2017-08-01,247.32,109.68,67.46,43.93
2017-09-01,247.84,109.97,66.99,45.16
2017-10-02,252.32,109.43,68.42,44.82
2017-11-01,257.49,109.29,69.7,46.52
2017-12-01,264.46,109.16,69.83,45.84
2018-01-02,268.77,109.17,70.83,48.01
2018-02-01,281.58,107.52,74.05,50.34
2018-03-01,267.7,106.63,69.09,47.93
2018-04-02,257.47,106.9,68.72,47.41
2018-05-01,264.98,105.67,70.49,46.69
